custom_id,wine_name,status,square_png_path,portrait_png_path,note
wine-image-001-champagne-de-barranco-brut-nature-2016,Champagne de Barranco Brut Nature 2016,saved,artifacts/wine_images/new_pngs/wine-image-001-champagne-de-barranco-brut-nature-2016.png,artifacts/wine_images/portrait_pngs/wine-image-001-champagne-de-barranco-brut-nature-2016.png,
wine-image-002-ayni-de-barranco-albarino-2023,Ayni de Barranco Albariño 2023,saved,artifacts/wine_images/new_pngs/wine-image-002-ayni-de-barranco-albarino-2023.png,artifacts/wine_images/portrait_pngs/wine-image-002-ayni-de-barranco-albarino-2023.png,
wine-image-003-maison-varenne-junmai-daiginjo-2023,Maison Varenne Junmai Daiginjo 2023,saved,artifacts/wine_images/new_pngs/wine-image-003-maison-varenne-junmai-daiginjo-2023.png,artifacts/wine_images/portrait_pngs/wine-image-003-maison-varenne-junmai-daiginjo-2023.png,
wine-image-004-pampa-negra-malbec-2019,Pampa Negra Malbec 2019,saved,artifacts/wine_images/new_pngs/wine-image-004-pampa-negra-malbec-2019.png,artifacts/wine_images/portrait_pngs/wine-image-004-pampa-negra-malbec-2019.png,
wine-image-005-etxe-senda-txakoli-2022,Etxe Senda Txakoli 2022,saved,artifacts/wine_images/new_pngs/wine-image-005-etxe-senda-txakoli-2022.png,artifacts/wine_images/portrait_pngs/wine-image-005-etxe-senda-txakoli-2022.png,
wine-image-006-mole-de-piedra-blend-2021,Mole de Piedra Blend 2021,saved,artifacts/wine_images/new_pngs/wine-image-006-mole-de-piedra-blend-2021.png,artifacts/wine_images/portrait_pngs/wine-image-006-mole-de-piedra-blend-2021.png,
wine-image-007-gran-via-garnacha-2021,Gran Vía Garnacha 2021,saved,artifacts/wine_images/new_pngs/wine-image-007-gran-via-garnacha-2021.png,artifacts/wine_images/portrait_pngs/wine-image-007-gran-via-garnacha-2021.png,
wine-image-008-refshale-bloom-blanc-de-noirs-2017,Refshale Bloom Blanc de Noirs 2017,saved,artifacts/wine_images/new_pngs/wine-image-008-refshale-bloom-blanc-de-noirs-2017.png,artifacts/wine_images/portrait_pngs/wine-image-008-refshale-bloom-blanc-de-noirs-2017.png,
wine-image-009-siam-silk-riesling-2022,Siam Silk Riesling 2022,saved,artifacts/wine_images/new_pngs/wine-image-009-siam-silk-riesling-2022.png,artifacts/wine_images/portrait_pngs/wine-image-009-siam-silk-riesling-2022.png,
wine-image-010-marunouchi-cuvee-eclat-2018,Marunouchi Cuvée Éclat 2018,saved,artifacts/wine_images/new_pngs/wine-image-010-marunouchi-cuvee-eclat-2018.png,artifacts/wine_images/portrait_pngs/wine-image-010-marunouchi-cuvee-eclat-2018.png,
