custom_id,name,prompt,source_image_path,source_image_url,output_file,model,size,quality
hot-sauce-01-fiery_margherita_blaze,Fiery Margherita Blaze,"High-end studio product photograph of a gourmet hot sauce bottle named 'Fiery Margherita Blaze'. Portrait composition for a premium menu application, glossy glass bottle, crisp label, sharp food-photography lighting, subtle cinematic reflections, isolated on a clean light background, ultra-detailed, photorealistic, no hands, no extra props, no watermarks. Flavor direction: Fiery Margherita Blaze is an artisanal hot sauce crafted specifically to enhance the flavor profile of your favorite pizza. Infused with sun-dried tomatoes, roasted garlic, and a special blend of Italian herbs, this sauce delivers a tangy punch with moderate heat, making it perfect for those who appreciate a bit of spice without overwhelming the palate. Emphasize a bottle that feels luxurious, appetizing, and ready for a modern editorial catalog.",sauce_pictures/Fiery_Margherita_Blaze.jpg,https://raw.githubusercontent.com/louispaulet/menu_display_2/main/sauce_pictures/Fiery_Margherita_Blaze.jpg,new_images/hot-sauce-01-fiery_margherita_blaze.png,gpt-image-2,1024x1536,high
hot-sauce-02-ghostly_inferno,Ghostly Inferno,"High-end studio product photograph of a gourmet hot sauce bottle named 'Ghostly Inferno'. Portrait composition for a premium menu application, glossy glass bottle, crisp label, sharp food-photography lighting, subtle cinematic reflections, isolated on a clean light background, ultra-detailed, photorealistic, no hands, no extra props, no watermarks. Flavor direction: Unleash the fiery wrath of the Ghostly Inferno, a hot sauce crafted for the daring and the bold. This concoction harnesses the intense heat of the infamous ghost pepper, blending it seamlessly with smoky chipotle undertones and a hint of tangy lime. Emphasize a bottle that feels luxurious, appetizing, and ready for a modern editorial catalog.",sauce_pictures/Ghostly_Inferno.jpg,https://raw.githubusercontent.com/louispaulet/menu_display_2/main/sauce_pictures/Ghostly_Inferno.jpg,new_images/hot-sauce-02-ghostly_inferno.png,gpt-image-2,1024x1536,high
hot-sauce-03-inferno_blaze,Inferno Blaze,"High-end studio product photograph of a gourmet hot sauce bottle named 'Inferno Blaze'. Portrait composition for a premium menu application, glossy glass bottle, crisp label, sharp food-photography lighting, subtle cinematic reflections, isolated on a clean light background, ultra-detailed, photorealistic, no hands, no extra props, no watermarks. Flavor direction: Inferno Blaze is a fiery concoction designed for thrill-seekers and spice lovers alike. Crafted from a blend of ghost peppers, habaneros, and a hint of smoked paprika, this hot sauce delivers a bold heat that's balanced by a touch of sweetness from ripe mango and a trace of tangy lime. Emphasize a bottle that feels luxurious, appetizing, and ready for a modern editorial catalog.",sauce_pictures/Inferno_Blaze.jpg,https://raw.githubusercontent.com/louispaulet/menu_display_2/main/sauce_pictures/Inferno_Blaze.jpg,new_images/hot-sauce-03-inferno_blaze.png,gpt-image-2,1024x1536,high
hot-sauce-04-inferno_ember,Inferno Ember,"High-end studio product photograph of a gourmet hot sauce bottle named 'Inferno Ember'. Portrait composition for a premium menu application, glossy glass bottle, crisp label, sharp food-photography lighting, subtle cinematic reflections, isolated on a clean light background, ultra-detailed, photorealistic, no hands, no extra props, no watermarks. Flavor direction: Inferno Ember is a fiery blend of habanero and ghost peppers balanced with the sweetness of roasted red bell peppers and a hint of smoked paprika. This sauce ignites the palate with its bold, intense heat while providing a rich, smoky undertone. Emphasize a bottle that feels luxurious, appetizing, and ready for a modern editorial catalog.",sauce_pictures/Inferno_Ember.jpg,https://raw.githubusercontent.com/louispaulet/menu_display_2/main/sauce_pictures/Inferno_Ember.jpg,new_images/hot-sauce-04-inferno_ember.png,gpt-image-2,1024x1536,high
hot-sauce-05-inferno_queso,Inferno Queso,"High-end studio product photograph of a gourmet hot sauce bottle named 'Inferno Queso'. Portrait composition for a premium menu application, glossy glass bottle, crisp label, sharp food-photography lighting, subtle cinematic reflections, isolated on a clean light background, ultra-detailed, photorealistic, no hands, no extra props, no watermarks. Flavor direction: Inferno Queso is a unique blend of fiery habaneros and creamy cheddar cheese, bringing the ultimate fusion between heat and cheesy goodness. With a smooth and luscious texture, this hot sauce adds a burst of spicy cheddar to tacos, burgers, or even nachos. Emphasize a bottle that feels luxurious, appetizing, and ready for a modern editorial catalog.",sauce_pictures/Inferno_Queso.jpg,https://raw.githubusercontent.com/louispaulet/menu_display_2/main/sauce_pictures/Inferno_Queso.jpg,new_images/hot-sauce-05-inferno_queso.png,gpt-image-2,1024x1536,high
hot-sauce-06-pique_de_azteca,Pique de Azteca,"High-end studio product photograph of a gourmet hot sauce bottle named 'Pique de Azteca'. Portrait composition for a premium menu application, glossy glass bottle, crisp label, sharp food-photography lighting, subtle cinematic reflections, isolated on a clean light background, ultra-detailed, photorealistic, no hands, no extra props, no watermarks. Flavor direction: Pique de Azteca is a tribute to the rich agricultural history of Mexico, featuring the Xcatic pepper, a rare gem found in the Yucatán Peninsula. Known for its unique flavor profile that combines citrus undertones with a floral sweetness. Emphasize a bottle that feels luxurious, appetizing, and ready for a modern editorial catalog.",sauce_pictures/Pique_de_Azteca.jpg,https://raw.githubusercontent.com/louispaulet/menu_display_2/main/sauce_pictures/Pique_de_Azteca.jpg,new_images/hot-sauce-06-pique_de_azteca.png,gpt-image-2,1024x1536,high
hot-sauce-07-arctic_blaze,Arctic Blaze,"High-end studio product photograph of a gourmet hot sauce bottle named 'Arctic Blaze'. Portrait composition for a premium menu application, glossy glass bottle, crisp label, sharp food-photography lighting, subtle cinematic reflections, isolated on a clean light background, ultra-detailed, photorealistic, no hands, no extra props, no watermarks. Flavor direction: Arctic Blaze is a unique hot sauce crafted to bring the unexpected heat in a dazzling white color. Infused with creamy coconut milk and tangy lime, it combines the fierce heat of white ghost peppers with a smooth, velvety base. Emphasize a bottle that feels luxurious, appetizing, and ready for a modern editorial catalog.",sauce_pictures/Arctic_Blaze.jpg,https://raw.githubusercontent.com/louispaulet/menu_display_2/main/sauce_pictures/Arctic_Blaze.jpg,new_images/hot-sauce-07-arctic_blaze.png,gpt-image-2,1024x1536,high
hot-sauce-08-blaze_berry_inferno,Blaze Berry Inferno,"High-end studio product photograph of a gourmet hot sauce bottle named 'Blaze Berry Inferno'. Portrait composition for a premium menu application, glossy glass bottle, crisp label, sharp food-photography lighting, subtle cinematic reflections, isolated on a clean light background, ultra-detailed, photorealistic, no hands, no extra props, no watermarks. Flavor direction: Blaze Berry Inferno is a uniquely crafted hot sauce that brings a fiery twist to fruity flavor. Featuring a blend of ripe blueberries and strawberries, this sauce combines savory garlic and onions with a burst of habanero heat. Emphasize a bottle that feels luxurious, appetizing, and ready for a modern editorial catalog.",sauce_pictures/Blaze_Berry_Inferno.jpg,https://raw.githubusercontent.com/louispaulet/menu_display_2/main/sauce_pictures/Blaze_Berry_Inferno.jpg,new_images/hot-sauce-08-blaze_berry_inferno.png,gpt-image-2,1024x1536,high
hot-sauce-09-esprit_de_provence,Esprit de Provence,"High-end studio product photograph of a gourmet hot sauce bottle named 'Esprit de Provence'. Portrait composition for a premium menu application, glossy glass bottle, crisp label, sharp food-photography lighting, subtle cinematic reflections, isolated on a clean light background, ultra-detailed, photorealistic, no hands, no extra props, no watermarks. Flavor direction: Esprit de Provence is a unique hot sauce that captures the essence of Southern France. Infusing French elegance and culinary traditions, it features a delicate blend of ripe cayenne peppers with the floral notes of lavender and a hint of rosemary. Emphasize a bottle that feels luxurious, appetizing, and ready for a modern editorial catalog.",sauce_pictures/Esprit_de_Provence.jpg,https://raw.githubusercontent.com/louispaulet/menu_display_2/main/sauce_pictures/Esprit_de_Provence.jpg,new_images/hot-sauce-09-esprit_de_provence.png,gpt-image-2,1024x1536,high
hot-sauce-10-fiery_garlic_inferno,Fiery Garlic Inferno,"High-end studio product photograph of a gourmet hot sauce bottle named 'Fiery Garlic Inferno'. Portrait composition for a premium menu application, glossy glass bottle, crisp label, sharp food-photography lighting, subtle cinematic reflections, isolated on a clean light background, ultra-detailed, photorealistic, no hands, no extra props, no watermarks. Flavor direction: Fiery Garlic Inferno combines the robust, savory aroma of roasted garlic with the intense heat of habanero and serrano peppers. This hot sauce elevates any dish with its bold and complex flavor profile. Emphasize a bottle that feels luxurious, appetizing, and ready for a modern editorial catalog.",sauce_pictures/Fiery_Garlic_Inferno.jpg,https://raw.githubusercontent.com/louispaulet/menu_display_2/main/sauce_pictures/Fiery_Garlic_Inferno.jpg,new_images/hot-sauce-10-fiery_garlic_inferno.png,gpt-image-2,1024x1536,high
