custom_id,restaurant_name,course,dish_name,source_webp_path,output_png_path,status,note
recipe-image-001-marea-andina-amuse-bouche,Marea Andina,Amuse-Bouche,"King crab tartlet with green ají, avocado cream, and toasted quinoa","dish_pictures/Chef_Valeria_Tsumori-Marea_Andina-Amuse-Bouche-King_crab_tartlet_with_green_ají,_avocado_cream,_and_toasted_quinoa.webp",artifacts/recipe_images/new_pngs/recipe-image-001-marea-andina-amuse-bouche.png,saved,
recipe-image-002-marea-andina-ceviche,Marea Andina,Ceviche,Line-caught sea bass ceviche with rocoto leche de tigre and finger lime,dish_pictures/Chef_Valeria_Tsumori-Marea_Andina-Ceviche-Line-caught_sea_bass_ceviche_with_rocoto_leche_de_tigre_and_finger_lime.webp,artifacts/recipe_images/new_pngs/recipe-image-002-marea-andina-ceviche.png,saved,
recipe-image-003-marea-andina-fish,Marea Andina,Fish,Lobster steamed in banana leaf with coriander oil and purple potato purée,dish_pictures/Chef_Valeria_Tsumori-Marea_Andina-Fish-Lobster_steamed_in_banana_leaf_with_coriander_oil_and_purple_potato_purée.webp,artifacts/recipe_images/new_pngs/recipe-image-003-marea-andina-fish.png,saved,
recipe-image-004-marea-andina-meat,Marea Andina,Meat,"Aged duck breast with charred corn, cassava gratin, and miso jus","dish_pictures/Chef_Valeria_Tsumori-Marea_Andina-Meat-Aged_duck_breast_with_charred_corn,_cassava_gratin,_and_miso_jus.webp",artifacts/recipe_images/new_pngs/recipe-image-004-marea-andina-meat.png,saved,
recipe-image-005-marea-andina-dessert,Marea Andina,Dessert,Lucuma tart with cocoa nibs and fermented pineapple sorbet,dish_pictures/Chef_Valeria_Tsumori-Marea_Andina-Dessert-Lucuma_tart_with_cocoa_nibs_and_fermented_pineapple_sorbet.webp,artifacts/recipe_images/new_pngs/recipe-image-005-marea-andina-dessert.png,saved,
recipe-image-006-brasa-de-atxondo-snacks,Brasa de Atxondo,Snacks,Smoked oyster with cider vinegar and dill oil,dish_pictures/Chef_Iker_Aramburu-Brasa_de_Atxondo-Snacks-Smoked_oyster_with_cider_vinegar_and_dill_oil.webp,artifacts/recipe_images/new_pngs/recipe-image-006-brasa-de-atxondo-snacks.png,saved,
recipe-image-007-brasa-de-atxondo-fish,Brasa de Atxondo,Fish,Grilled red prawns with garlic aioli and lemon zest,dish_pictures/Chef_Iker_Aramburu-Brasa_de_Atxondo-Fish-Grilled_red_prawns_with_garlic_aioli_and_lemon_zest.webp,artifacts/recipe_images/new_pngs/recipe-image-007-brasa-de-atxondo-fish.png,saved,
recipe-image-008-brasa-de-atxondo-vegetable,Brasa de Atxondo,Vegetable,Charred artichoke with herb broth and almond cream,dish_pictures/Chef_Iker_Aramburu-Brasa_de_Atxondo-Vegetable-Charred_artichoke_with_herb_broth_and_almond_cream.webp,artifacts/recipe_images/new_pngs/recipe-image-008-brasa-de-atxondo-vegetable.png,saved,
recipe-image-009-brasa-de-atxondo-meat,Brasa de Atxondo,Meat,Wood-fired lamb shoulder with spring onions and smoked pepper,dish_pictures/Chef_Iker_Aramburu-Brasa_de_Atxondo-Meat-Wood-fired_lamb_shoulder_with_spring_onions_and_smoked_pepper.webp,artifacts/recipe_images/new_pngs/recipe-image-009-brasa-de-atxondo-meat.png,saved,
recipe-image-010-brasa-de-atxondo-dessert,Brasa de Atxondo,Dessert,Milk ice cream with burnt honey and hazelnut cake,dish_pictures/Chef_Iker_Aramburu-Brasa_de_Atxondo-Dessert-Milk_ice_cream_with_burnt_honey_and_hazelnut_cake.webp,artifacts/recipe_images/new_pngs/recipe-image-010-brasa-de-atxondo-dessert.png,saved,
recipe-image-011-quelite-opening,Quelite,Opening,"Blue corn tostada with scallop, hoja santa, and green tomato","dish_pictures/Chef_Ximena_Vallejo-Quelite-Opening-Blue_corn_tostada_with_scallop,_hoja_santa,_and_green_tomato.webp",artifacts/recipe_images/new_pngs/recipe-image-011-quelite-opening.png,saved,
